product_category_name_english,total_value
bed_bath_table,1712553.67
health_beauty,1657373.12
computers_accessories,1585330.45
furniture_decor,1430176.39
watches_gifts,1429216.68
sports_leisure,1392127.56
housewares,1094758.13
auto,852294.33
garden_tools,838280.75
cool_stuff,779698.0
