average_payment_value,month
161.51140683572217,09
161.40833435582823,04
161.22897233960816,10
157.67677317447422,05
155.77441704718416,06
155.52379167069282,03
153.26345805617146,07
151.9627114332952,11
150.85540896159316,08
148.99467728515393,01
148.9859396200814,12
145.32375537451912,02
